"player_id","player_name","games","time","goals","xG","assists","xA","shots","key_passes","yellow_cards","red_cards","position","team_name","npg","npxG","xGChain","xGBuildup","year"
8865,"Ollie Watkins",9,810,6,6.10861538350582,1,1.29417782090604,22,12,0,0,"F","Aston Villa",5,4.5862777531147,6.57087867707014,1.83224342949688,2020
675,"Jack Grealish",9,810,5,3.13672132790089,5,3.88447920233011,26,26,2,0,"F M","Aston Villa",5,3.13672132790089,7.3804028481245,2.57733127474785,2020
592,"Ross Barkley",6,454,2,1.51562301069498,1,1.76735509932041,17,15,0,0,"M","Aston Villa",2,1.51562301069498,3.54640036821365,0.667209424078465,2020
1024,"Tyrone Mings",9,810,2,1.36234885081649,1,0.0686715915799141,7,2,2,0,"D","Aston Villa",2,1.36234885081649,1.67787419259548,1.66145478188992,2020
7726,"Ezri Konsa Ngoyo",9,810,2,0.972793899476528,0,0,7,0,0,0,"D","Aston Villa",2,0.972793899476528,0.627417648211122,0.627417648211122,2020
7721,"Conor Hourihane",4,236,1,0.567954540252686,1,0.919187903404236,5,5,0,0,"M S","Aston Villa",1,0.567954540252686,0.668175920844078,0.190557707101107,2020
7723,"John McGinn",9,810,1,0.292687728069723,4,1.69365697726607,10,15,3,0,"M","Aston Villa",1,0.292687728069723,4.26969064772129,2.46407398581505,2020
695,"Bertrand Traoré",7,147,0,0.200469778850675,1,0.391518533229828,5,2,0,0,"M S","Aston Villa",0,0.200469778850675,0.394432708621025,0.245775295421481,2020
884,"Matt Targett",9,810,0,0.176126904785633,0,0.360713243484497,3,9,3,0,"D","Aston Villa",0,0.176126904785633,1.7480296343565,1.59224510192871,2020
1053,"Keinan Davis",1,24,0,0,0,0.0256057567894459,0,1,0,0,"S","Aston Villa",0,0,0.142695307731628,0.142695307731628,2020
1685,"Ahmed Elmohamady",3,30,0,0,0,0.0451031289994717,0,1,0,0,"S","Aston Villa",0,0,0.078745567239821,0.078745567239821,2020
4401,"Emiliano Martinez",9,810,0,0,0,0,0,0,0,0,"GK","Aston Villa",0,0,1.47712944447994,1.47712944447994,2020
5612,"Anwar El Ghazi",3,31,0,0,0,0.027938598766923,0,1,0,0,"S","Aston Villa",0,0,0.027938598766923,0,2020
6122,"Douglas Luiz",9,789,0,0.20394326467067,1,0.745591608807445,8,8,2,0,"M","Aston Villa",0,0.20394326467067,3.29130543768406,2.45598040521145,2020
7722,"Trézéguet",9,735,0,2.52853928133845,1,2.01398575119674,22,9,0,0,"F M S","Aston Villa",0,2.52853928133845,4.73054593801498,1.05635680817068,2020
8040,"Marvelous Nakamba",2,8,0,0.022241635248065,0,0,1,0,1,0,"S","Aston Villa",0,0.022241635248065,0.0673447623848915,0.0451031289994717,2020
8864,"Matthew Cash",9,780,0,0.0497129820287228,1,0.255135089159012,2,6,4,0,"D","Aston Villa",0,0.0497129820287228,1.82452470064163,1.57909373193979,2020
8941,"Jacob Ramsey",1,9,0,0,0,0,0,0,0,0,"S","Aston Villa",0,0,0,0,2020
5555,"Dominic Calvert-Lewin",11,973,11,8.8185314014554,0,0.505859669297934,36,7,1,0,"F","Everton",11,8.8185314014554,10.1175332739949,2.60949185490608,2020
2249,"James Rodríguez",10,861,3,2.20834492333233,3,3.85416136682034,22,25,1,0,"F","Everton",3,2.20834492333233,8.14750909805298,4.87575673870742,2020
1653,"Michael Keane",11,990,2,1.20966388564557,0,0.13641569390893,5,2,0,0,"D","Everton",2,1.20966388564557,2.94115982949734,2.80474412441254,2020
1726,"Abdoulaye Doucouré",11,922,1,1.42881090193987,1,1.19673542678356,10,11,3,0,"M","Everton",1,1.42881090193987,5.7174017727375,4.07310832291842,2020
